name,order,line,lat,lon,old_name
上海体育馆,16.0,4,31.1846571527715,121.432567330231,
宜山路,17.0,4,31.1885783570084,121.422920909973,
莘庄,1.0,5,31.1131514999999,121.3806318,
春申路,2.0,5,31.1001363623059,121.381150951109,
银都路,3.0,5,31.0912507617963,121.385629903907,
颛桥,4.0,5,31.0689159523054,121.397230997509,
北桥,5.0,5,31.0470271837776,121.405413158032,
剑川路,6.0,5,31.0284268798214,121.411941193944,
东川路,7.0,5,31.0201817898767,121.415258926669,
江川路,8.0,5,31.007437700745,121.418778149966,
西渡,9.0,5,30.9914152,121.427461799999,
萧塘,10.0,5,30.9678558507822,121.437402099995,
奉浦大道,11.0,5,30.9441319074402,121.44445985079,
环城东路,12.0,5,30.933092641088,121.45888190935,
望园路,13.0,5,30.9363342572435,121.477375265285,
