name,line,latitude,longitude
武定路,,31.2294501,121.4311464
豫园,,31.2314615,121.4842395
静安寺,,31.2237595,121.4407549
一大会址·黄陂南路,,31.2256562,121.4679564
大世界,,31.2286365,121.4751877
陆家嘴,,31.2369216,121.4979194
源深路,,31.2433745,121.5264996
浦东大道,,31.2424141,121.5149488
黄杨路,,31.2359808,121.5862834
歇浦路,,31.2526656,121.547042
云顺路,,31.2392917,121.5964372
蓝天路,,31.2429529,121.5738977
云山路,,31.2532335,121.5669032
龙居路,,31.2594736,121.5547025
浦东足球场,,31.2437063,121.6107535
金粤路,,31.2443209,121.6247466
桂桥路,,31.2526202,121.6309638
龙阳路,,31.2041627,121.553356
龙阳路,,31.2056725,121.5536268
龙阳路,,31.2030494,121.5524565
枫泾,,30.8944987,121.0249418
江湾镇,,31.3074899,121.4805955
上海宝山,,31.4050945,121.441346
徐行,,31.4187672,121.31452
外高桥,,31.3660141,121.5572171
上海东,,31.1228482,121.7819336
曹路,,31.2830651,121.6983239
石湖荡,,30.9824304,121.1224073
天潼路,,31.2457831,121.4779624
江苏路,,31.2214433,121.427011
崇明,,31.6630034,121.3717515
练塘,,30.9969854,121.0273802
浦东1号2号航站楼,,31.1522997,121.8012679
上海国际旅游度假区,,31.1585237,121.6759116
康桥东,,31.149121,121.611222
三林南,,31.1280131,121.4820207
景洪路,,31.1117628,121.4402352
浦东3号航站楼,,31.1362831,121.8074043
中春路,,31.1519932,121.3299725
鹏翔路,,31.0911989,121.8312372
滨海森林公园,,30.9752681,121.9043621
惠南,,31.0286616,121.7880297
星海湾路,,30.9585982,121.9369954
滴水湖北,,30.928931,121.9369879
长兴岛,,31.3930867,121.7179172
陈家镇,,31.4927315,121.7882001
东滩,,31.5022577,121.8513696
裕安,,31.5252521,121.8580994
申江路,,31.282098,121.6210608
高宝路,,31.2925132,121.6210656
凌空北路,,31.2957169,121.6681085
康恒路,,31.1564411,121.5492931
浦东足球场,,31.2421998,121.6127278
龙东大道,,31.2228632,121.6126851
广兰路,,31.2126248,121.6137832
高斯路,,31.2021249,121.6090151
张衡路,,31.1940038,121.6080916
康桥东,,31.1484341,121.6127875
唐黄路,,31.1454455,121.6781147
施新路,,31.1514548,121.7535442
